company_name,homepage_url,recruits_url,memo
앤비전,https://www.envision.co.kr/ko/main.asp,https://envision.recruiter.co.kr/app/jobnotice/list,
정보와기술(주),http://www.lgit.co.kr/?,http://www.lgit.co.kr/bbs/board.php?bo_table=hire,
이노시스아이티,http://www.innosysit.co.kr/,http://www.innosysit.co.kr/homepage/index.html," (특정 채용페이지 없는 회사, 홈피에 정보만 써둠)"
이노솔루텍,http://www.innost.co.kr/,http://www.innost.co.kr/kor/careers/menu_04.html,
(주)오션정보기술,http://ocean-it.co.kr/index.html,http://ocean-it.co.kr/people05.html,
뉴로센스,http://www.neurosense.co.kr,,
아라드네트웍스,https://www.aradnetworks.com/?lang=,https://www.aradnetworks.com/sub/sub0105-2.php,
소올아이티,http://soarit.net/index.php,http://soarit.net/sub/sub04_03.php,
진네트웍스,http://jinnetworks.com/,http://jinnetworks.com/about-jin-3/,
버츄얼드림,http://www.virtualdream.co.kr/index.do,http://www.virtualdream.co.kr/vd.do?menu_id=0501000000,"팝업이 있다 채용으로, (홈페이지에서 바로 http://www.virtualdream.co.kr/index.do) 애매하네..."
JATCOKOREA,http://www.jatco.co.kr/m/main.do,http://recruit.jatco.co.kr/board/recruit.do,
알피오,http://www.rpio.co.kr/index.php,http://www.rpio.co.kr/pg/bbs/board.php?bo_table=cs01&wr_id=22,찾기 어렵겠다... 공지사항에서 찾아 들어가야 함.
아이티벨리,https://www.itballey.com,https://www.itballey.com/kor/company/careers.php,
(주)라코어,http://lacore.co.kr,,
(주)이루온,http://www.inssys.co.kr,https://ict-eluon.imweb.me/recruitInfo,
웨이브글로벌,http://www.wave-global.com/,https://wave-global.com/recruitment-information.html,
네오슬론,http://www.neoslon.com,http://www.neoslon.com/theme/s007/index/aboutus_05.php,
(주)YTINS,,,
주식회사_로노,,https://lono.quv.kr/module/board/read_form.html?bid=tjQ6ek&aid=zlNrNO&pn=customer,게시판 게시글
제이엘스탠다드,,,
나인웍스(주),https://9works.kr/,x,
에스지테크놀로지,https://sgt119.com/,,
머플,https://www.murple.ai/,https://www.wanted.co.kr/company/42343,원티드
카페24,https://www.cafe24.com,,
솔트룩스,https://www.saltlux.com,x,
메가존클라우드,https://www.megazone.com,,
메가존,https://www.mz.co.kr,https://xmukacmt.ninehire.site/job_posting,
더존비즈온,https://www.douzone.com,,
영림원소프트랩,https://www.ksystem.co.kr,https://www.ksystem.co.kr/right-people-for-younglimwon/,
한글과컴퓨터,https://www.hancom.com,x,
다우기술,https://daou.co.kr,https://recruit.daou.co.kr/recruit?category=Tech,
다우데이타,https://www.daoudata.co.kr,,
토마토시스템,https://www.tomatosystem.co.kr,x,
코리아센터,http://None.none,,
메가존디지털,https://megazone.digital,https://megazone.digital/recruitment/index,
엠로,http://www.emro.co.kr,https://emro.recruiter.co.kr/career/home,
아이티센,https://itcen.com/index.do,https://itcen.com/user/recruit/BD_recruitListView.do,
씨에스텍,http://www.cstlab.co.kr/,http://www.cstlab.co.kr/page/sub4_1,
비투엔,https://www.b2en.com,https://www.b2en.com/career/recruit,사람인
엑셈,https://www.ex-em.com,x,
엔키아,https://www.nkia.co.kr,,
인포바인,https://www.infovine.co.kr,https://www.infovine.co.kr/m62.php,
케이티클라우드,https://www.ktcloud.com,https://career.ktcloud.com/recruit.html,
엔에이치엔,https://www.nhn.com,,
NHN클라우드,https://www.nhncloud.com,,
NHN커머스,https://www.nhn-commerce.com,,
비큐AI,https://becuai.com/,,
유니닥스,https://www.unidocs.co.kr,https://www.unidocs.co.kr/company#company-info-4,"게시판, 그림파일"
윈스,http://winssystem.com,,
인피닉,https://www.infiniq.co.kr,x,
에이텍,https://www.atec.kr,https://www.atec.kr/atec/recruit/recruit.html,그림파일
에이치앤씨네트워크,,,
포시에스,https://www.forcs.com,https://kr.forcs.com/careers/,채용진행없음
유비케어,https://www.ubcare.co.kr,https://www.ubcare.co.kr/BBS/41/Recruit,채용진행없음
인젠트,https://www.inzent.com/,https://www.inzent.com/board/board.php?bo_table=recruit,
오픈베이스,https://www.openbase.co.kr,,
플랜티넷,https://www.plantynet.com/,,
에스넷시스템,https://www.snetsystems.co.kr/,,
링크제니시스,https://www.linkgenesis.co.kr,,
오라컴,https://oracomkorea.com/oracom/,x,
엘에스웨어,https://www.lsware.co.kr/,https://www.lsware.co.kr/company/recruit,잡코리아
마크애니,https://www.markany.com,,
이씨티,http://www.e-city.co.kr/,,
가비아,https://www.gabia.com,,
후이즈,https://www.whois.co.kr,,
데이터스트림즈,https://www.datastreams.co.kr,,
위세아이텍,https://wise.co.kr/,,
이글루코퍼레이션,https://www.igloo.co.kr/,,
아톤,https://www.atoncorp.com,,
라온시큐어,https://www.raonsecure.com,,
소프트캠프,https://www.softcamp.co.kr,,
드림시큐리티,https://www.dreamsecurity.com,,
케이사인,https://www.ksign.com,https://www.ksign.com/ksign/notice/recruit.php,
파이오링크,https://www.piolink.com,x,
펜타시큐리티,https://www.pentasecurity.com,https://pentasecurity.recruiter.co.kr/career/job(1),
안랩,https://www.ahnlab.com,,
지란지교소프트,https://www.jiran.com,,
지란지교시큐리티,https://www.jiransecurity.com,https://www.jiransecurity.com/jiransecurity/recruitment,사람인
시큐아이,https://www.secui.com,https://secui-recruit.recruiter.co.kr/app/jobnotice/list,
SK쉴더스,,,
한싹,,,
넷앤드,https://www.netand.co.kr,https://www.netand.co.kr/home/recruit.php,채용진행없음
세큐어,,,
에이쓰리시큐리티,,,
노루페인트IT,https://www.noroopaint.com,,
더화이트커뮤니케이션,,,
이스트시큐리티,https://www.estsecurity.com,,
알티베이스,https://www.altibase.com,,
비트나인,https://www.bitnine.net,,
티맥스소프트,https://www.tmaxsoft.com,,
티맥스티베로,https://www.tmax.co.kr,,
알서포트,https://www.rsupport.com,,
엠투소프트,https://www.m2soft.co.kr,,
브리지텍,https://www.bridgetec.co.kr,,
유니포인트,https://www.unipoint.co.kr,,
아이티아이즈,,,
마이다스아이티,https://www.midasit.com,,
다날,https://www.danalpay.com,,
KG이니시스,https://www.inicis.com,,
세틀뱅크,https://www.settlebank.co.kr,,
토스페이먼츠,https://www.tosspayments.com,,
카카오페이,https://www.kakaopay.com,,
비바리퍼블리카(토스),https://www.toss.im,,
두나무,https://www.dunamu.com,,
업비트싱가포르,,,
빗썸코리아,https://www.bithumbcorp.com,,
코인원,https://coinonecorp.com,,
코빗,https://www.korbit.co.kr,,
직방,https://www.zigbang.com,,
다방,https://www.dabangapp.com,,
야놀자,https://www.yanolja.com,,
여기어때컴퍼니,https://www.gccompany.co.kr,,
우아한형제들,https://www.woowahan.com,,
배달의민족,https://www.baemin.com,,
마켓컬리,https://www.kurly.com,,
무신사,https://www.musinsa.com,,
29CM,https://www.29cm.co.kr,,
에이블리코퍼레이션,https://www.a-bly.com,,
브랜디,https://www.brandi.co.kr,,
오늘의집(버킷플레이스),https://www.ohou.se,,
당근마켓,https://www.daangn.com,,
번개장터,https://www.bunjang.co.kr,,
리디,https://www.ridicorp.com,,
왓챠,https://watcha.com,,
요기요,https://www.yogiyo.co.kr,,
쏘카,https://www.socar.kr,,
VCNC(타다),https://tadatada.com,,
티맵모빌리티,https://www.tmapmobility.com,,
누비랩,https://www.nuvilab.com,,
스푼라디오,https://www.spooncast.net,,
센드버드코리아,https://www.sendbird.com,,
버즈빌,https://www.buzzvil.com,,
센드애니웨어,https://www.send-anywhere.com,,
아이디어스(백패커),https://www.idus.com,,
클래스101,https://www.class101.net,,
탈잉,https://www.taling.me,,
프립,https://www.frip.co.kr,,
레진엔터테인먼트,https://www.lezhin.com,,
채널코퍼레이션(채널톡),https://www.channel.io,,
스윗코리아,https://swit.io/ko-kr,,
넥스트유니콘,https://www.nextunicorn.kr,,
잡플래닛,https://www.jobplanet.co.kr,,
원티드랩,https://www.wantedlab.com,,
로켓펀치,https://www.rocketpunch.com,,
사람인HR,https://www.saraminhr.co.kr,,
인크루트,https://www.incruit.com,,
네오위즈,http://www.neowiz.com,,
조이시티,https://www.joycity.com,,
컴투스,https://www.com2us.com,,
펄어비스,https://www.pearlabyss.com,,
웹젠,https://www.webzen.co.kr,,
그라비티,http://www.gravity.co.kr,,
데브시스터즈,https://www.devsisters.com,,
위메이드,https://www.wemade.com,,
위메이드플레이,https://www.wemadeplay.com,,
카카오게임즈,https://www.kakaogames.com,,
라인게임즈,https://www.line.games,,
엔씨소프트,https://www.ncsoft.com,,
넥슨코리아,http://company.nexon.com,,
스마일게이트,https://www.smilegate.com,,
NHN빅풋,,,
NHN픽셀큐브,,,
뤼이드,https://www.riiid.com,,
업스테이지,https://www.upstage.ai,,
스켈터랩스,https://www.skelterlabs.com,,
마인즈랩,https://www.maum.ai,,
크라우드웍스,https://www.crowdworks.kr,,
딥노이드,https://www.deepnoid.com,,
뷰노,https://www.vuno.co,,
루닛,https://www.lunit.io,,
보이저엑스,https://www.voyagerx.com,,
바이브컴퍼니니,https://www.vaiv.kr,,
래블업,https://www.lablup.com,,
모아데이타,https://www.moadata.co.kr/,,
패스트캠퍼스,https://www.fastcampus.co.kr,,
엘리스,https://www.elice.io,,
코드스테이츠,https://www.codestates.com,,
멋쟁이사자처럼,https://www.likelion.net,,
팀스파르타,https://www.spartacodingclub.kr,,
인프런(Inflearn),https://www.inflearn.com,,
프로그래머스(그렙),https://www.programmers.co.kr,,
스쿨42서울,https://www.42seoul.kr,,
바닐라코딩,,,
LG CNS,https://www.lgcns.com,,
삼성SDS,https://www.samsungsds.com,,
롯데이노베이트,https://www.lotteinnovate.com/ko,,
신세계아이앤씨,https://www.shinsegae-inc.com,,
현대오토에버,https://www.hyundai-autoever.com,,
포스코아이씨티,https://www.poscoict.com,,
SK C&C,https://www.skcc.com,,
베스핀글로벌,https://www.bespinglobal.com,,
GS네오텍,https://www.gsneotek.com,,
이노그리드,https://www.innogrid.com,,
오픈핸즈,https://www.openhands.co.kr,,
인지소프트,http://inzisoft.com/,,
유라클,https://www.uracle.co.kr,,
플랜아이,https://www.plani.co.kr/,,
투이컨설팅,https://www.2e.co.kr,,
메타넷티플랫폼,https://www.metanet.co.kr,,
메타넷엠플랫폼,,,
더블유게임즈,http://www.doubleugames.com,,
NHN에듀,http://nhnedu.com,,
KG모빌리언스,https://www.mobilians.co.kr,,
한국사이버결제,https://www.kcp.co.kr,,
롯데e커머스,https://www.lotte.co.kr/business/compDetail.do?compCd=L207,,
리디북스(리디),https://www.ridicorp.com,,
왓박스(왓챠),https://watcha.com,,
하이퍼커넥트,https://www.hpcnt.com,,
비마이프렌즈,https://www.bemyfriends.com,,
매스프레소(콴다),https://mathpresso.com/ko,,
레이니스트(뱅크샐러드),https://www.banksalad.com,,
뱅크웨어글로벌,https://www.bankwareglobal.com,,
카카오엔터프라이즈,https://www.kakaoenterprise.com,,
카카오브레인,,,
라인플러스,https://linepluscorp.com,,
네이버웹툰,https://webtoonscorp.com,,
와이즈앱,https://www.wiseapp.co.kr,,
비모뉴먼트(마이리얼트립),https://www.myrealtrip.com,,
트리플,https://www.triple.guide,,
야나두,https://www.yanadoo.co.kr,,
플라이북,https://www.flybook.kr,,
도도포인트,https://www.dodopoint.com,,
비프로컴퍼니,https://www.bepro11.com,,
하이퍼리즘,https://www.hyperithm.com,,
몰로코코리아,https://www.moloco.com/ko,,
센트비,https://www.sentbe.com,,
코인플러그,https://www.coinplug.com,,
람다256,https://www.lambda256.io,,
해치랩스,https://www.haechi.io,,
베어로보틱스코리아,https://www.bearrobotics.ai,,
마키나락스,https://www.makinarocks.ai,,
비솔,https://www.visol.co.kr/index.htm,,
에이럭스,https://www.aluxonline.com/,,
인벤티스,https://www.inventis.co.kr,,
클로버추얼패션,https://www.clo3d.com,,
씨유박스,https://secern.ai/,,
알체라,https://www.alchera.ai,,
에이아이매틱스,https://www.aimatics.ai,,
아이지에이웍스(IGAWorks),https://www.igaworks.com,,
채널코퍼레이션,https://www.channel.io,,
플라네타리움랩스,https://planetariumhq.com/?lang=ko,,
크래프트테크놀로지스,https://www.qraftec.com,,
리벨리온,https://kr.rebellions.ai/,,
에이유,https://www.augold.co.kr/,,