상담내용,근무인원,업종분류,"구인구분(신입,경력)",구인기술,근무지,급여,기술스택,복리후생,필수조건
"성장 단계 스타트업에도 열려 있으나 현실적인 취업 가능성을 함께 검토함. 회사 규모에 대한 조건은 두지 않고, 기회가 주어지는 곳 위주로 지원하겠다는 입장. 근무지는 지방 가능로 고려 중. 희망 직무는 BI 개발자이며, 교육과정에서 습득한 스택(Python(판다스), SQL, Tableau/Power BI)을 활용해 핀테크 분야 포지션을 우선적으로 검토하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,500만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 새로운 조직에서 대인관계와 커뮤니케이션이 서툴러 팀에 민폐가 되지 않을까 우려를 표현함. 집안 경제 사정으로 빠른 취업이 필요하지만, 너무 낮은 조건에 입사해 경력 설계가 꼬이지 않을지 고민하고 있어 현실적인 기준을 함께 조정함. 초기 1~2년은 실무 적응과 기본기 다지기에 집중하고, 이후 특정 기술 영역의 전문성을 쌓아 리드 혹은 시니어로 성장하는 계획을 공유함.",0,핀테크,신입,BI 개발자,지방 가능,3500,"Python(판다스), SQL, Tableau/Power BI",,
"안정적 중견 기업 이상을 선호하나 현실적인 취업 가능성을 함께 검토함. 구성원 20명 이상 규모의 조직을 선호한다고 언급함. 근무지는 수도권로 고려 중. 희망 직무는 리얼타임 그래픽스이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입+경력 무관 포지션 중심으로 구직 전략을 수립함. 코드 리뷰나 테스트에서 실수하면 바로 탈락할 것 같다는 압박이 있어, 실제 평가 방식과 개선 프로세스를 안내하며 불안을 완화시킴. 새로운 조직에서 대인관계와 커뮤니케이션이 서툴러 팀에 민폐가 되지 않을까 우려를 표현함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",20,,신입+경력 무관,리얼타임 그래픽스,수도권,,"Unity/Unreal, WebGL, Blender",,
"회사 유형보다는 팀의 기술력과 문화가 맞는 곳을 우선으로 보며 현실적인 취업 가능성을 함께 검토함. 구성원 10명 이상 규모의 조직을 선호한다고 언급함. 근무지는 수도권로 고려 중. 희망 직무는 BI 개발자이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,500만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 복리후생은 자율출퇴근제 제공 시 긍정적으로 평가한다고 언급함. 이전 직장의 과도한 야근 경험으로 워라밸과 조직 문화를 매우 중요하게 보고 있으며, 이런 기준을 지키면서도 현실적으로 지원 가능한 회사를 찾고자 함. 코드 리뷰나 테스트에서 실수하면 바로 탈락할 것 같다는 압박이 있어, 실제 평가 방식과 개선 프로세스를 안내하며 불안을 완화시킴. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",10,,신입,BI 개발자,수도권,3500,"Python(판다스), SQL, Tableau/Power BI",자율출퇴근제,
"회사 유형보다는 팀의 기술력과 문화가 맞는 곳을 우선으로 보며 현실적인 취업 가능성을 함께 검토함. 회사 규모에 대한 조건은 두지 않고, 기회가 주어지는 곳 위주로 지원하겠다는 입장. 근무지는 지역 무관로 고려 중. 희망 직무는 BI 개발자이며, 교육과정에서 습득한 스택(Python(판다스), SQL, Tableau/Power BI)을 활용해 SaaS 분야 포지션을 우선적으로 검토하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,500만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 복리후생은 사내스터디, 경조휴가, 운동비 제공 시 긍정적으로 평가한다고 언급함. 코드 리뷰나 테스트에서 실수하면 바로 탈락할 것 같다는 압박이 있어, 실제 평가 방식과 개선 프로세스를 안내하며 불안을 완화시킴. 이전 직장의 과도한 야근 경험으로 워라밸과 조직 문화를 매우 중요하게 보고 있으며, 이런 기준을 지키면서도 현실적으로 지원 가능한 회사를 찾고자 함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",0,SaaS,신입,BI 개발자,지역 무관,3500,"Python(판다스), SQL, Tableau/Power BI","사내스터디, 경조휴가, 운동비",
"안정적 중견 기업 이상을 선호하나 현실적인 취업 가능성을 함께 검토함. 구성원 10명 이상 규모의 조직을 선호한다고 언급함. 희망 직무는 3D 콘텐츠 개발이며, 교육과정에서 습득한 스택(Unity/Unreal, WebGL, Blender)을 활용해 스마트시티 분야 포지션을 우선적으로 검토하기로 함. 신입+경력 무관 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 2,500만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 복리후생은 자율출퇴근제, 스톡옵션 제공 시 긍정적으로 평가한다고 언급함. 초기 1~2년은 실무 적응과 기본기 다지기에 집중하고, 이후 특정 기술 영역의 전문성을 쌓아 리드 혹은 시니어로 성장하는 계획을 공유함.",10,스마트시티,신입+경력 무관,3D 콘텐츠 개발,,2500,"Unity/Unreal, WebGL, Blender","자율출퇴근제, 스톡옵션",복리후생
"성장 단계 스타트업에도 열려 있으나 현실적인 취업 가능성을 함께 검토함. 구성원 50명 이상 규모의 조직을 선호한다고 언급함. 근무지는 지역 무관로 고려 중. 희망 직무는 BI 개발자이며, 교육과정에서 습득한 스택(Python(판다스), SQL, Tableau/Power BI)을 활용해 SaaS 분야 포지션을 우선적으로 검토하기로 함. 신입+경력 무관 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,000만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 복리후생은 도서구입비, 경조휴가 제공 시 긍정적으로 평가한다고 언급함. 비전공과 경력 공백으로 실무에서 뒤처질까 걱정하며, 현재 프로젝트가 채용 기준에 어느 정도 부합하는지 반복적으로 확인함. 새로운 조직에서 대인관계와 커뮤니케이션이 서툴러 팀에 민폐가 되지 않을까 우려를 표현함. 초기 1~2년은 실무 적응과 기본기 다지기에 집중하고, 이후 특정 기술 영역의 전문성을 쌓아 리드 혹은 시니어로 성장하는 계획을 공유함.",50,SaaS,신입+경력 무관,BI 개발자,지역 무관,3000,"Python(판다스), SQL, Tableau/Power BI","도서구입비, 경조휴가",
"회사 유형보다는 팀의 기술력과 문화가 맞는 곳을 우선으로 보며 현실적인 취업 가능성을 함께 검토함. 회사 규모에 대한 조건은 두지 않고, 기회가 주어지는 곳 위주로 지원하겠다는 입장. 근무지는 지역 무관로 고려 중. 희망 직무는 백엔드(Node)이며, 교육과정에서 습득한 스택(React, TypeScript, Node/Nest, PostgreSQL)을 활용해 B2B SaaS 분야 포지션을 우선적으로 검토하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 2,500만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",0,B2B SaaS,신입,백엔드(Node),지역 무관,2500,"React, TypeScript, Node/Nest, PostgreSQL",,
"회사 유형보다는 팀의 기술력과 문화가 맞는 곳을 우선으로 보며 현실적인 취업 가능성을 함께 검토함. 구성원 10명 이상 규모의 조직을 선호한다고 언급함. 근무지는 지역 무관로 고려 중. 희망 직무는 풀스택 주니어이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,500만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 복리후생은 컨퍼런스참가비 제공 시 긍정적으로 평가한다고 언급함. '내가 개발을 직업으로 해도 될까'라는 자기 효능감 문제를 자주 언급해, 학원 내 성취 경험과 강점 기반으로 자기소개를 구성해 보도록 코칭함. 이전 직장의 과도한 야근 경험으로 워라밸과 조직 문화를 매우 중요하게 보고 있으며, 이런 기준을 지키면서도 현실적으로 지원 가능한 회사를 찾고자 함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",10,,신입,풀스택 주니어,지역 무관,3500,"React, TypeScript, Node/Nest, PostgreSQL",컨퍼런스참가비,
"안정적 중견 기업 이상을 선호하나 현실적인 취업 가능성을 함께 검토함. 구성원 5명 이상 규모의 조직을 선호한다고 언급함. 근무지는 수도권로 고려 중. 희망 직무는 디지털 트윈 개발이며, 교육과정에서 습득한 스택(Unity/Unreal, WebGL, Blender)을 활용해 콘텐츠/엔터 분야 포지션을 우선적으로 검토하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 집안 경제 사정으로 빠른 취업이 필요하지만, 너무 낮은 조건에 입사해 경력 설계가 꼬이지 않을지 고민하고 있어 현실적인 기준을 함께 조정함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",5,콘텐츠/엔터,신입,디지털 트윈 개발,수도권,,"Unity/Unreal, WebGL, Blender",,
"회사 유형보다는 팀의 기술력과 문화가 맞는 곳을 우선으로 보며 현실적인 취업 가능성을 함께 검토함. 회사 규모에 대한 조건은 두지 않고, 기회가 주어지는 곳 위주로 지원하겠다는 입장. 근무지는 수도권로 고려 중. 희망 직무는 툴/에디터 개발이며, 교육과정에서 습득한 스택(Unity C#, Addressables, Git)을 활용해 VR/AR 분야 포지션을 우선적으로 검토하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 2,500만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 이전 직장의 과도한 야근 경험으로 워라밸과 조직 문화를 매우 중요하게 보고 있으며, 이런 기준을 지키면서도 현실적으로 지원 가능한 회사를 찾고자 함. 초기 1~2년은 실무 적응과 기본기 다지기에 집중하고, 이후 특정 기술 영역의 전문성을 쌓아 리드 혹은 시니어로 성장하는 계획을 공유함.",0,VR/AR,신입,툴/에디터 개발,수도권,2500,"Unity C#, Addressables, Git",,
"안정적 중견 기업 이상을 선호하나 현실적인 취업 가능성을 함께 검토함. 구성원 50명 이상 규모의 조직을 선호한다고 언급함. 근무지는 지방 가능로 고려 중. 희망 직무는 클라이언트 프로그래머이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,000만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 새로운 조직에서 대인관계와 커뮤니케이션이 서툴러 팀에 민폐가 되지 않을까 우려를 표현함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",50,,신입,클라이언트 프로그래머,지방 가능,3000,"Unity C#, Addressables, Git",,
"성장 단계 스타트업에도 열려 있으나 현실적인 취업 가능성을 함께 검토함. 구성원 5명 이상 규모의 조직을 선호한다고 언급함. 근무지는 지역 무관로 고려 중. 희망 직무는 3D 콘텐츠 개발이며, 교육과정에서 습득한 스택(Unity/Unreal, WebGL, Blender)을 활용해 교육 분야 포지션을 우선적으로 검토하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,000만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 복리후생은 도서구입비 제공 시 긍정적으로 평가한다고 언급함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",5,교육,신입,3D 콘텐츠 개발,지역 무관,3000,"Unity/Unreal, WebGL, Blender",도서구입비,업종분류
"성장 단계 스타트업에도 열려 있으나 현실적인 취업 가능성을 함께 검토함. 회사 규모에 대한 조건은 두지 않고, 기회가 주어지는 곳 위주로 지원하겠다는 입장. 희망 직무는 3D 콘텐츠 개발이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입+경력 무관 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,500만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 복리후생은 도서구입비 제공 시 긍정적으로 평가한다고 언급함. 초기 1~2년은 실무 적응과 기본기 다지기에 집중하고, 이후 특정 기술 영역의 전문성을 쌓아 리드 혹은 시니어로 성장하는 계획을 공유함.",0,,신입+경력 무관,3D 콘텐츠 개발,,3500,"Unity/Unreal, WebGL, Blender",도서구입비,
"회사 유형보다는 팀의 기술력과 문화가 맞는 곳을 우선으로 보며 현실적인 취업 가능성을 함께 검토함. 구성원 20명 이상 규모의 조직을 선호한다고 언급함. 근무지는 지역 무관로 고려 중. 희망 직무는 프론트엔드이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 2,500만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 복리후생은 사내스터디, 경조사비 제공 시 긍정적으로 평가한다고 언급함. 집안 경제 사정으로 빠른 취업이 필요하지만, 너무 낮은 조건에 입사해 경력 설계가 꼬이지 않을지 고민하고 있어 현실적인 기준을 함께 조정함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",20,,신입,프론트엔드,지역 무관,2500,"React, TypeScript, Node/Nest, PostgreSQL","사내스터디, 경조사비",
"성장 단계 스타트업에도 열려 있으나 현실적인 취업 가능성을 함께 검토함. 구성원 5명 이상 규모의 조직을 선호한다고 언급함. 근무지는 지역 무관로 고려 중. 희망 직무는 툴/에디터 개발이며, 교육과정에서 습득한 스택(Unity C#, Addressables, Git)을 활용해 모바일 게임 분야 포지션을 우선적으로 검토하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 2,500만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 코드 리뷰나 테스트에서 실수하면 바로 탈락할 것 같다는 압박이 있어, 실제 평가 방식과 개선 프로세스를 안내하며 불안을 완화시킴. 비전공과 경력 공백으로 실무에서 뒤처질까 걱정하며, 현재 프로젝트가 채용 기준에 어느 정도 부합하는지 반복적으로 확인함. 초기 1~2년은 실무 적응과 기본기 다지기에 집중하고, 이후 특정 기술 영역의 전문성을 쌓아 리드 혹은 시니어로 성장하는 계획을 공유함.",5,모바일 게임,신입,툴/에디터 개발,지역 무관,2500,"Unity C#, Addressables, Git",,
"성장 단계 스타트업에도 열려 있으나 현실적인 취업 가능성을 함께 검토함. 구성원 5명 이상 규모의 조직을 선호한다고 언급함. 근무지는 지방 가능로 고려 중. 희망 직무는 툴/에디터 개발이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 복리후생은 컨퍼런스참가비, 스톡옵션, 운동비 제공 시 긍정적으로 평가한다고 언급함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",5,,신입,툴/에디터 개발,지방 가능,,"Unity C#, Addressables, Git","컨퍼런스참가비, 스톡옵션, 운동비",
"안정적 중견 기업 이상을 선호하나 현실적인 취업 가능성을 함께 검토함. 구성원 5명 이상 규모의 조직을 선호한다고 언급함. 근무지는 수도권로 고려 중. 희망 직무는 데이터 시각화 프론트엔드이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 2,500만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 이전 직장의 과도한 야근 경험으로 워라밸과 조직 문화를 매우 중요하게 보고 있으며, 이런 기준을 지키면서도 현실적으로 지원 가능한 회사를 찾고자 함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",5,,신입,데이터 시각화 프론트엔드,수도권,2500,"Python(판다스), SQL, Tableau/Power BI",,
"안정적 중견 기업 이상을 선호하나 현실적인 취업 가능성을 함께 검토함. 구성원 20명 이상 규모의 조직을 선호한다고 언급함. 근무지는 지역 무관로 고려 중. 희망 직무는 게임 플레이 프로그래머이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입+경력 무관 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,000만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. '내가 개발을 직업으로 해도 될까'라는 자기 효능감 문제를 자주 언급해, 학원 내 성취 경험과 강점 기반으로 자기소개를 구성해 보도록 코칭함. 초기 1~2년은 실무 적응과 기본기 다지기에 집중하고, 이후 특정 기술 영역의 전문성을 쌓아 리드 혹은 시니어로 성장하는 계획을 공유함.",20,,신입+경력 무관,게임 플레이 프로그래머,지역 무관,3000,"Unity C#, Addressables, Git",,
"성장 단계 스타트업에도 열려 있으나 현실적인 취업 가능성을 함께 검토함. 회사 규모에 대한 조건은 두지 않고, 기회가 주어지는 곳 위주로 지원하겠다는 입장. 희망 직무는 디지털 트윈 개발이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,000만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 복리후생은 식대 제공 시 긍정적으로 평가한다고 언급함. 코드 리뷰나 테스트에서 실수하면 바로 탈락할 것 같다는 압박이 있어, 실제 평가 방식과 개선 프로세스를 안내하며 불안을 완화시킴. 초기 1~2년은 실무 적응과 기본기 다지기에 집중하고, 이후 특정 기술 영역의 전문성을 쌓아 리드 혹은 시니어로 성장하는 계획을 공유함.",0,,신입,디지털 트윈 개발,,3000,"Unity/Unreal, WebGL, Blender",식대,
"성장 단계 스타트업에도 열려 있으나 현실적인 취업 가능성을 함께 검토함. 구성원 10명 이상 규모의 조직을 선호한다고 언급함. 근무지는 지역 무관로 고려 중. 희망 직무는 BI 개발자이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 2,500만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 복리후생은 스톡옵션, 도서구입비 제공 시 긍정적으로 평가한다고 언급함. 집안 경제 사정으로 빠른 취업이 필요하지만, 너무 낮은 조건에 입사해 경력 설계가 꼬이지 않을지 고민하고 있어 현실적인 기준을 함께 조정함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",10,,신입,BI 개발자,지역 무관,2500,"Python(판다스), SQL, Tableau/Power BI","스톡옵션, 도서구입비",
"회사 유형보다는 팀의 기술력과 문화가 맞는 곳을 우선으로 보며 현실적인 취업 가능성을 함께 검토함. 구성원 50명 이상 규모의 조직을 선호한다고 언급함. 근무지는 수도권로 고려 중. 희망 직무는 데이터 시각화 프론트엔드이며, 교육과정에서 습득한 스택(Python(판다스), SQL, Tableau/Power BI)을 활용해 커머스 분야 포지션을 우선적으로 검토하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 3,000만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 3~5년 내 담당 영역을 명확히 가져가는 핵심 인력이 되는 것을 목표로, 포트폴리오와 학습 계획을 단계적으로 보완하기로 함.",50,커머스,신입,데이터 시각화 프론트엔드,수도권,3000,"Python(판다스), SQL, Tableau/Power BI",,근무지
"안정적 중견 기업 이상을 선호하나 현실적인 취업 가능성을 함께 검토함. 구성원 20명 이상 규모의 조직을 선호한다고 언급함. 근무지는 지역 무관로 고려 중. 희망 직무는 게임 플레이 프로그래머이며, 교육과정에서 습득한 스택(Unity C#, Addressables, Git)을 활용해 모바일 게임 분야 포지션을 우선적으로 검토하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 집안 경제 사정으로 빠른 취업이 필요하지만, 너무 낮은 조건에 입사해 경력 설계가 꼬이지 않을지 고민하고 있어 현실적인 기준을 함께 조정함. 초기 1~2년은 실무 적응과 기본기 다지기에 집중하고, 이후 특정 기술 영역의 전문성을 쌓아 리드 혹은 시니어로 성장하는 계획을 공유함.",20,모바일 게임,신입,게임 플레이 프로그래머,지역 무관,,"Unity C#, Addressables, Git",,
"안정적 중견 기업 이상을 선호하나 현실적인 취업 가능성을 함께 검토함. 구성원 5명 이상 규모의 조직을 선호한다고 언급함. 근무지는 지방 가능로 고려 중. 희망 직무는 데이터 애널리스트이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 복리후생은 건강검진 제공 시 긍정적으로 평가한다고 언급함. 새로운 조직에서 대인관계와 커뮤니케이션이 서툴러 팀에 민폐가 되지 않을까 우려를 표현함. 집안 경제 사정으로 빠른 취업이 필요하지만, 너무 낮은 조건에 입사해 경력 설계가 꼬이지 않을지 고민하고 있어 현실적인 기준을 함께 조정함. 초기 1~2년은 실무 적응과 기본기 다지기에 집중하고, 이후 특정 기술 영역의 전문성을 쌓아 리드 혹은 시니어로 성장하는 계획을 공유함.",5,,신입,데이터 애널리스트,지방 가능,,"Python(판다스), SQL, Tableau/Power BI",건강검진,
"회사 유형보다는 팀의 기술력과 문화가 맞는 곳을 우선으로 보며 현실적인 취업 가능성을 함께 검토함. 구성원 10명 이상 규모의 조직을 선호한다고 언급함. 근무지는 수도권로 고려 중. 희망 직무는 BI 개발자이나, 업종은 크게 가리지 않고 채용 기회가 있는 곳을 중심으로 지원하기로 함. 신입 포지션 중심으로 구직 전략을 수립함. 희망 연봉은 최소 연 2,500만원 수준으로 설정하였으며, 첫 취업인 점을 감안해 협의 가능하다고 함. 복리후생은 경조휴가 제공 시 긍정적으로 평가한다고 언급함. 새로운 조직에서 대인관계와 커뮤니케이션이 서툴러 팀에 민폐가 되지 않을까 우려를 표현함. '내가 개발을 직업으로 해도 될까'라는 자기 효능감 문제를 자주 언급해, 학원 내 성취 경험과 강점 기반으로 자기소개를 구성해 보도록 코칭함. 초기 1~2년은 실무 적응과 기본기 다지기에 집중하고, 이후 특정 기술 영역의 전문성을 쌓아 리드 혹은 시니어로 성장하는 계획을 공유함.",10,,신입,BI 개발자,수도권,2500,"Python(판다스), SQL, Tableau/Power BI",경조휴가,
