학생ID,성별,학력,전공,학원 성적(등수),경력,경력기간(M),근무인원,업종분류,"구인구분(신입,경력)",구인기술,근무지,급여,기술스택,복리후생,필수조건
S0802024,여,대졸,IT 비전공,11,없음,0,0,핀테크,신입,BI 개발자,지방 가능,3500,"Python(판다스), SQL, Tableau/Power BI",,
S0803020,여,고졸,IT 전공,12,IT 헬프데스크,12,20,,신입+경력 무관,리얼타임 그래픽스,수도권,,"Unity/Unreal, WebGL, Blender",,
S0807021,남,고졸,IT 비전공,15,없음,0,10,,신입,BI 개발자,수도권,3500,"Python(판다스), SQL, Tableau/Power BI",자율출퇴근제,
S0808042,남,석사,IT 전공,9,없음,0,0,SaaS,신입,BI 개발자,지역 무관,3500,"Python(판다스), SQL, Tableau/Power BI","사내스터디, 경조휴가, 운동비",
S0816048,여,고졸,IT 비전공,15,편의점/서비스직,24,10,스마트시티,신입+경력 무관,3D 콘텐츠 개발,,2500,"Unity/Unreal, WebGL, Blender","자율출퇴근제, 스톡옵션",복리후생
S0817010,여,대졸,IT 비전공,2,생산직,18,50,SaaS,신입+경력 무관,BI 개발자,지역 무관,3000,"Python(판다스), SQL, Tableau/Power BI","도서구입비, 경조휴가",
S0820029,남,초대졸,IT 비전공,17,없음,0,0,B2B SaaS,신입,백엔드(Node),지역 무관,2500,"React, TypeScript, Node/Nest, PostgreSQL",,
S0822027,여,초대졸,IT 비전공,18,IT 헬프데스크,12,10,,신입,풀스택 주니어,지역 무관,3500,"React, TypeScript, Node/Nest, PostgreSQL",컨퍼런스참가비,
S0822037,여,초대졸,IT 비전공,5,없음,0,5,콘텐츠/엔터,신입,디지털 트윈 개발,수도권,,"Unity/Unreal, WebGL, Blender",,
S0829022,여,초대졸,IT 비전공,8,없음,0,0,VR/AR,신입,툴/에디터 개발,수도권,2500,"Unity C#, Addressables, Git",,
S0829009,여,고졸,IT 비전공,12,없음,0,50,,신입,클라이언트 프로그래머,지방 가능,3000,"Unity C#, Addressables, Git",,
S0830043,남,고졸,IT 전공,12,없음,0,5,교육,신입,3D 콘텐츠 개발,지역 무관,3000,"Unity/Unreal, WebGL, Blender",도서구입비,업종분류
S0902034,여,대졸,IT 비전공,4,게임 QA,6,0,,신입+경력 무관,3D 콘텐츠 개발,,3500,"Unity/Unreal, WebGL, Blender",도서구입비,
S0903035,남,초대졸,IT 전공,15,없음,0,20,,신입,프론트엔드,지역 무관,2500,"React, TypeScript, Node/Nest, PostgreSQL","사내스터디, 경조사비",
S0907039,남,고졸,IT 비전공,17,없음,0,5,모바일 게임,신입,툴/에디터 개발,지역 무관,2500,"Unity C#, Addressables, Git",,
S0908004,여,초대졸,IT 비전공,10,없음,0,5,,신입,툴/에디터 개발,지방 가능,,"Unity C#, Addressables, Git","컨퍼런스참가비, 스톡옵션, 운동비",
S0908028,여,초대졸,IT 비전공,7,없음,0,5,,신입,데이터 시각화 프론트엔드,수도권,2500,"Python(판다스), SQL, Tableau/Power BI",,
S0915038,여,고졸,IT 비전공,14,편의점/서비스직,24,20,,신입+경력 무관,게임 플레이 프로그래머,지역 무관,3000,"Unity C#, Addressables, Git",,
S0917041,남,대졸,IT 비전공,13,없음,0,0,,신입,디지털 트윈 개발,,3000,"Unity/Unreal, WebGL, Blender",식대,
S0917033,남,대졸,IT 비전공,18,없음,0,10,,신입,BI 개발자,지역 무관,2500,"Python(판다스), SQL, Tableau/Power BI","스톡옵션, 도서구입비",
S0920050,여,대졸,IT 비전공,16,없음,0,50,커머스,신입,데이터 시각화 프론트엔드,수도권,3000,"Python(판다스), SQL, Tableau/Power BI",,근무지
S0921032,남,대졸,IT 비전공,4,없음,0,20,모바일 게임,신입,게임 플레이 프로그래머,지역 무관,,"Unity C#, Addressables, Git",,
S0922007,여,초대졸,IT 전공,7,없음,0,5,,신입,데이터 애널리스트,지방 가능,,"Python(판다스), SQL, Tableau/Power BI",건강검진,
S0923046,여,초대졸,IT 비전공,13,없음,0,10,,신입,BI 개발자,수도권,2500,"Python(판다스), SQL, Tableau/Power BI",경조휴가,
S0923015,여,대졸,IT 비전공,14,생산직,18,5,인디/AA,신입+경력 무관,클라이언트 프로그래머,지역 무관,,"Unity C#, Addressables, Git","자율출퇴근제, 건강검진, 스톡옵션",
S0924016,여,고졸,IT 비전공,6,없음,0,0,헬스케어,신입,백엔드(Node),수도권,,"React, TypeScript, Node/Nest, PostgreSQL","경조휴가, 교육비, 재택근무",
S0926030,남,초대졸,IT 비전공,9,없음,0,5,,신입,툴/에디터 개발,수도권,3000,"Unity C#, Addressables, Git","교육비, 건강검진",
S0929047,남,석사,IT 비전공,14,없음,0,10,커머스,신입,BI 개발자,지역 무관,,"Python(판다스), SQL, Tableau/Power BI",,
S0930044,남,대졸,IT 비전공,3,없음,0,5,핀테크,신입,데이터 애널리스트,수도권,3000,"Python(판다스), SQL, Tableau/Power BI",,업종분류
S0930019,남,고졸,IT 비전공,7,없음,0,0,,신입,백엔드(Node),수도권,3500,"React, TypeScript, Node/Nest, PostgreSQL",,
S1004018,남,초대졸,IT 비전공,4,없음,0,5,,신입,클라이언트 프로그래머,지방 가능,3000,"Unity C#, Addressables, Git",,
S1006017,여,초대졸,IT 비전공,16,없음,0,10,커머스,신입,데이터 애널리스트,지역 무관,,"Python(판다스), SQL, Tableau/Power BI",,
S1009008,남,초대졸,IT 비전공,3,없음,0,20,,신입,디지털 트윈 개발,지역 무관,3000,"Unity/Unreal, WebGL, Blender",,
S1010005,남,고졸,IT 비전공,10,없음,0,10,콘텐츠/엔터,신입,3D 콘텐츠 개발,지역 무관,,"Unity/Unreal, WebGL, Blender","식대, 사내스터디",업종분류
S1010036,남,초대졸,IT 비전공,3,없음,0,20,,신입,프론트엔드,,3500,"React, TypeScript, Node/Nest, PostgreSQL","경조사비, 건강검진",
S1011002,여,대졸,IT 비전공,1,없음,0,5,교육,신입,3D 콘텐츠 개발,,3000,"Unity/Unreal, WebGL, Blender","식대, 사내스터디",복리후생
S1016023,남,고졸,IT 비전공,5,없음,0,0,B2B SaaS,신입,풀스택 주니어,,3500,"React, TypeScript, Node/Nest, PostgreSQL","컨퍼런스참가비, 자율출퇴근제, 교육비",
S1017040,남,고졸,IT 비전공,11,없음,0,0,,신입,툴/에디터 개발,수도권,3000,"Unity C#, Addressables, Git","재택근무, 컨퍼런스참가비, 운동비",
S1018003,남,대졸,IT 비전공,2,없음,0,0,,신입,툴/에디터 개발,,3000,"Unity C#, Addressables, Git","컨퍼런스참가비, 사내스터디, 식대",
S1019006,여,초대졸,IT 비전공,16,없음,0,50,,신입,BI 개발자,지방 가능,2500,"Python(판다스), SQL, Tableau/Power BI",,
S1019001,여,고졸,IT 비전공,6,없음,0,0,,신입,클라이언트 프로그래머,,3500,"Unity C#, Addressables, Git",,
S1020025,남,대졸,IT 비전공,2,없음,0,5,커머스,신입,BI 개발자,지방 가능,3000,"Python(판다스), SQL, Tableau/Power BI",식대,근무인원
S1021031,남,고졸,IT 비전공,13,없음,0,0,,신입,BI 개발자,지역 무관,3500,"Python(판다스), SQL, Tableau/Power BI",교육비,
S1022011,남,고졸,IT 비전공,18,없음,0,5,,신입,리얼타임 그래픽스,,3000,"Unity/Unreal, WebGL, Blender",경조사비,
S1024049,남,초대졸,IT 비전공,1,편의점/서비스직,24,0,커머스,신입,데이터 시각화 프론트엔드,지역 무관,3500,"Python(판다스), SQL, Tableau/Power BI","도서구입비, 재택근무, 경조사비",
S1030026,여,고졸,IT 비전공,6,없음,0,20,헬스케어,신입,프론트엔드,지방 가능,,"React, TypeScript, Node/Nest, PostgreSQL","사내스터디, 경조사비, 운동비",근무인원
S1101012,남,고졸,IT 비전공,8,없음,0,50,,신입,툴/에디터 개발,수도권,,"Unity C#, Addressables, Git","재택근무, 자율출퇴근제, 스톡옵션",
S1102045,여,고졸,IT 비전공,1,없음,0,50,,신입,게임 플레이 프로그래머,지역 무관,2500,"Unity C#, Addressables, Git","운동비, 교육비",복리후생
S1102014,남,고졸,IT 비전공,9,없음,0,10,,신입,툴/에디터 개발,지방 가능,3000,"Unity C#, Addressables, Git",,
S1106013,남,고졸,IT 비전공,5,없음,0,0,헬스케어,신입,프론트엔드,,,"React, TypeScript, Node/Nest, PostgreSQL",식대,
